lemma,count,freq,freq_per_1000
saskaņa,102,0.0003769108827474586,0.377
cilvēce,102,0.0003769108827474586,0.377
svarīgi,101,0.0003732156780146404,0.373
mūsdienas,101,0.0003732156780146404,0.373
vecums,101,0.0003732156780146404,0.373
teritorija,101,0.0003732156780146404,0.373
pieļaut,101,0.0003732156780146404,0.373
dēls,101,0.0003732156780146404,0.373
būtība,101,0.0003732156780146404,0.373
plānot,101,0.0003732156780146404,0.373
sods,101,0.0003732156780146404,0.373
vinjs,101,0.0003732156780146404,0.373
politisks,101,0.0003732156780146404,0.373
tramps,101,0.0003732156780146404,0.373
sanākt,100,0.0003695204732818222,0.37
balts,100,0.0003695204732818222,0.37
pietikt,99,0.00036582526854900396,0.366
spēcīgs,99,0.00036582526854900396,0.366
atcelt,99,0.00036582526854900396,0.366
uzmanība,99,0.00036582526854900396,0.366
izplatīt,99,0.00036582526854900396,0.366
zināšana,99,0.00036582526854900396,0.366
komanda,99,0.00036582526854900396,0.366
citādi,99,0.00036582526854900396,0.366
pastāvēt,99,0.00036582526854900396,0.366
atteikties,99,0.00036582526854900396,0.366
turēties,99,0.00036582526854900396,0.366
karte,99,0.00036582526854900396,0.366
samazināt,98,0.00036213006381618574,0.362
stunda,98,0.00036213006381618574,0.362
reāls,98,0.00036213006381618574,0.362
izglabdraugs,98,0.00036213006381618574,0.362
izlasīt,98,0.00036213006381618574,0.362
rīkoties,98,0.00036213006381618574,0.362
līdzīgs,97,0.0003584348590833675,0.358
mainīties,97,0.0003584348590833675,0.358
saglabāt,97,0.0003584348590833675,0.358
filma,97,0.0003584348590833675,0.358
kabinets,96,0.0003547396543505493,0.355
speciālists,96,0.0003547396543505493,0.355
izrādīties,96,0.0003547396543505493,0.355
izvēlēties,96,0.0003547396543505493,0.355
ilgi,96,0.0003547396543505493,0.355
pienākums,96,0.0003547396543505493,0.355
cīnīties,96,0.0003547396543505493,0.355
milzīgs,96,0.0003547396543505493,0.355
der,96,0.0003547396543505493,0.355
filmēšana,96,0.0003547396543505493,0.355
cilvēktiesības,95,0.0003510444496177311,0.351
grūti,95,0.0003510444496177311,0.351
simptoms,95,0.0003510444496177311,0.351
lietošana,95,0.0003510444496177311,0.351
kontrole,95,0.0003510444496177311,0.351
banka,95,0.0003510444496177311,0.351
klīnisks,94,0.00034734924488491286,0.347
pieprasīt,94,0.00034734924488491286,0.347
veicināt,94,0.00034734924488491286,0.347
izņemt,94,0.00034734924488491286,0.347
materiāls,93,0.00034365404015209463,0.344
publisks,93,0.00034365404015209463,0.344
saslimt,93,0.00034365404015209463,0.344
uzzināt,93,0.00034365404015209463,0.344
tiesiba,93,0.00034365404015209463,0.344
piespiedu,92,0.0003399588354192764,0.34
programma,92,0.0003399588354192764,0.34
piederēt,92,0.0003399588354192764,0.34
piekrišana,92,0.0003399588354192764,0.34
garš,91,0.0003362636306864582,0.336
pagaidām,91,0.0003362636306864582,0.336
prasīt,91,0.0003362636306864582,0.336
ārā,91,0.0003362636306864582,0.336
dzimt,91,0.0003362636306864582,0.336
ciest,91,0.0003362636306864582,0.336
saslimšana,90,0.00033256842595363997,0.333
tūkstotis,90,0.00033256842595363997,0.333
satversme,90,0.00033256842595363997,0.333
arvien,90,0.00033256842595363997,0.333
izteikt,90,0.00033256842595363997,0.333
ukraina,90,0.00033256842595363997,0.333
policija,90,0.00033256842595363997,0.333
vienīgi,89,0.00032887322122082175,0.329
vīrietis,89,0.00032887322122082175,0.329
trīs,89,0.00032887322122082175,0.329
tehnoloģija,89,0.00032887322122082175,0.329
zems,89,0.00032887322122082175,0.329
dvēsele,89,0.00032887322122082175,0.329
krūts,89,0.00032887322122082175,0.329
iesacīt,88,0.00032517801648800353,0.325
precīzi,88,0.00032517801648800353,0.325
apturēt,88,0.00032517801648800353,0.325
abi,88,0.00032517801648800353,0.325
sociāls,88,0.00032517801648800353,0.325
otrais,88,0.00032517801648800353,0.325
zāles,87,0.0003214828117551853,0.321
attiecība,87,0.0003214828117551853,0.321
vērtība,87,0.0003214828117551853,0.321
ielikt,86,0.0003177876070223671,0.318
lemt,86,0.0003177876070223671,0.318
prakse,86,0.0003177876070223671,0.318
beigt,86,0.0003177876070223671,0.318
pozitīvs,86,0.0003177876070223671,0.318
pārstāvis,86,0.0003177876070223671,0.318
pareizs,86,0.0003177876070223671,0.318
pilnība,85,0.00031409240228954887,0.314
pārbaudīt,85,0.00031409240228954887,0.314
dažs,85,0.00031409240228954887,0.314
princips,85,0.00031409240228954887,0.314
bāriņtiesa,85,0.00031409240228954887,0.314
pievienoties,85,0.00031409240228954887,0.314
ietekmēt,85,0.00031409240228954887,0.314
gaiss,84,0.00031039719755673065,0.31
beidzot,84,0.00031039719755673065,0.31
padarīt,84,0.00031039719755673065,0.31
oficiāls,84,0.00031039719755673065,0.31
cieņa,84,0.00031039719755673065,0.31
priekša,84,0.00031039719755673065,0.31
et,84,0.00031039719755673065,0.31
iziet,84,0.00031039719755673065,0.31
forma,84,0.00031039719755673065,0.31
protokols,84,0.00031039719755673065,0.31
pilnīgs,84,0.00031039719755673065,0.31
agri,83,0.00030670199282391243,0.307
tuvs,83,0.00030670199282391243,0.307
solis,83,0.00030670199282391243,0.307
vergs,83,0.00030670199282391243,0.307
saeima,83,0.00030670199282391243,0.307
ļaut,83,0.00030670199282391243,0.307
rīcība,83,0.00030670199282391243,0.307
visums,83,0.00030670199282391243,0.307
vīrs,82,0.0003030067880910942,0.303
saraksts,82,0.0003030067880910942,0.303
manuprāt,82,0.0003030067880910942,0.303
medikaments,82,0.0003030067880910942,0.303
uzvarēt,82,0.0003030067880910942,0.303
doties,82,0.0003030067880910942,0.303
kultūra,82,0.0003030067880910942,0.303
mg,82,0.0003030067880910942,0.303
kārtējs,81,0.000299311583358276,0.299
variants,81,0.000299311583358276,0.299
politiķis,81,0.000299311583358276,0.299
tēvs,81,0.000299311583358276,0.299
spēja,81,0.000299311583358276,0.299
braukt,81,0.000299311583358276,0.299
partija,81,0.000299311583358276,0.299
genocīds,80,0.00029561637862545777,0.296
patikt,80,0.00029561637862545777,0.296
šī,80,0.00029561637862545777,0.296
potēt,80,0.00029561637862545777,0.296
manipulācija,80,0.00029561637862545777,0.296
republika,80,0.00029561637862545777,0.296
ps,80,0.00029561637862545777,0.296
diskusija,80,0.00029561637862545777,0.296
bite,80,0.00029561637862545777,0.296
paziņot,79,0.00029192117389263954,0.292
uzspiest,79,0.00029192117389263954,0.292
ziedot,79,0.00029192117389263954,0.292
māte,79,0.00029192117389263954,0.292
sāpe,79,0.00029192117389263954,0.292
eksperiments,79,0.00029192117389263954,0.292
justies,79,0.00029192117389263954,0.292
ārstniecība,79,0.00029192117389263954,0.292
internets,79,0.00029192117389263954,0.292
uzdot,79,0.00029192117389263954,0.292
stāvēt,79,0.00029192117389263954,0.292
medņa,79,0.00029192117389263954,0.292
skaidri,78,0.0002882259691598213,0.288
vakcinēties,78,0.0002882259691598213,0.288
cena,78,0.0002882259691598213,0.288
pazust,78,0.0002882259691598213,0.288
spiest,78,0.0002882259691598213,0.288
īpašums,78,0.0002882259691598213,0.288
līdzīgi,78,0.0002882259691598213,0.288
garīgs,78,0.0002882259691598213,0.288
iekaisums,78,0.0002882259691598213,0.288
miljards,78,0.0002882259691598213,0.288
bīstams,77,0.0002845307644270031,0.285
drosme,77,0.0002845307644270031,0.285
parādīties,77,0.0002845307644270031,0.285
analīze,77,0.0002845307644270031,0.285
elite,77,0.0002845307644270031,0.285
iela,77,0.0002845307644270031,0.285
piedzīvot,77,0.0002845307644270031,0.285
operācija,77,0.0002845307644270031,0.285
līdzi,77,0.0002845307644270031,0.285
klāt,76,0.0002808355596941849,0.281
reakcija,76,0.0002808355596941849,0.281
vērā,76,0.0002808355596941849,0.281
iestāties,76,0.0002808355596941849,0.281
pazīt,76,0.0002808355596941849,0.281
ticība,76,0.0002808355596941849,0.281
apgalvot,76,0.0002808355596941849,0.281
ignorēt,75,0.0002771403549613666,0.277
aizsargāt,75,0.0002771403549613666,0.277
parasts,75,0.0002771403549613666,0.277
atsacīties,75,0.0002771403549613666,0.277
paust,75,0.0002771403549613666,0.277
pāris,75,0.0002771403549613666,0.277
panākt,75,0.0002771403549613666,0.277
balss,75,0.0002771403549613666,0.277
veikals,75,0.0002771403549613666,0.277
iepriekšējs,75,0.0002771403549613666,0.277
spēle,75,0.0002771403549613666,0.277
ierocis,75,0.0002771403549613666,0.277
paskatīties,74,0.0002734451502285484,0.273
efektīvs,74,0.0002734451502285484,0.273
gudrs,74,0.0002734451502285484,0.273
slēpt,74,0.0002734451502285484,0.273
melns,74,0.0002734451502285484,0.273
turēt,73,0.00026974994549573017,0.27
ēst,73,0.00026974994549573017,0.27
paiet,73,0.00026974994549573017,0.27
baidīties,73,0.00026974994549573017,0.27
covid,73,0.00026974994549573017,0.27
slikti,73,0.00026974994549573017,0.27
sēdēt,73,0.00026974994549573017,0.27
veidošana,73,0.00026974994549573017,0.27
gaišs,73,0.00026974994549573017,0.27
zarna,73,0.00026974994549573017,0.27
ilgs,72,0.00026605474076291195,0.266
svešs,72,0.00026605474076291195,0.266
sirdsapziņa,72,0.00026605474076291195,0.266
trešais,72,0.00026605474076291195,0.266
izturība,72,0.00026605474076291195,0.266
laboratorija,72,0.00026605474076291195,0.266
tumsa,72,0.00026605474076291195,0.266
piens,72,0.00026605474076291195,0.266
tiešs,71,0.0002623595360300937,0.262
pievienot,71,0.0002623595360300937,0.262
diezgan,71,0.0002623595360300937,0.262
reāli,71,0.0002623595360300937,0.262
jautāt,71,0.0002623595360300937,0.262
iesniegt,71,0.0002623595360300937,0.262
pilsēta,71,0.0002623595360300937,0.262
kļūt,71,0.0002623595360300937,0.262
